央视,#genre#
CCTV15,http://125.40.191.58:9901/tsfile/live/0015_1.m3u8
CCTV15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV16,http://hls.ye23.vip/hls/cctv16hd.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV16,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012375001.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV17,http://hls.ye23.vip/hls/cctv17hd.m3u8
CCTV17,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000204203.m3u8
CGTN,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2001656803.m3u8
CCTV兵器科技,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012513403.m3u8
CCTV世界地理,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012513303.m3u8
CCTV卫生健康,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012513503.m3u8
CCTV风云剧场,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012513603.m3u8
CCTV第一剧场,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012514403.m3u8
CCTV怀旧剧场,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012511203.m3u8
CCTV央视精品,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012513803.m3u8
CCTV女性时尚,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012513903.m3u8
CCTV电视指南,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012514003.m3u8
CCTV风云音乐,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012514103.m3u8
CNC中文,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CNC中文,http://39.134.115.163:8080/PLTV/88888910/224/3221225694/index.m3u8
CNC英文,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
CNC英文,http://39.134.115.163:8080/PLTV/88888910/224/3221225693/index.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000266303.m3u8

卫视,#genre#
浙江卫视,http://hls.ye23.vip/hls/zjwshd.m3u8
浙江卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000295503.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://125.40.191.58:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225744/index.m3u8
江苏卫视,http://hls.ye23.vip/hls/jswshd.m3u8
江苏卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000295603.m3u8
江苏卫视,http://125.40.191.58:9901/tsfile/live/0127_1.m3u8
湖南卫视,http://hls.ye23.vip/hls/hnwshd.m3u8
湖南卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000296203.m3u8
湖南卫视,http://125.40.191.58:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://222.175.159.226:808/hls/41/index.m3u8
安徽卫视,http://hls.ye23.vip/hls/ahwshd.m3u8
安徽卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000298003.m3u8
安徽卫视,http://1.195.111.251:11190/tsfile/live/0130_1.m3u8
安徽卫视,http://125.40.191.58:9901/tsfile/live/0130_1.m3u8
北京卫视,http://hls.ye23.vip/hls/bjwshd.m3u8
北京卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000272103.m3u8
北京卫视,http://125.40.191.58:9901/tsfile/live/0107_1.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8
东方卫视,http://hls.ye23.vip/hls/dfwshd.m3u8
东方卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000292403.m3u8
东方卫视,http://222.175.159.226:808/hls/43/index.m3u8
广东卫视,http://hls.ye23.vip/hls/gdwshd.m3u8
广东卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000292703.m3u8
广东卫视,http://111.13.42.235/PLTV/88888888/224/3221226508/1.m3u8
广东卫视,http://125.40.191.58:9901/tsfile/live/0125_1.m3u8
山东卫视,http://hls.ye23.vip/hls/sdwshd.m3u8
山东卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000294803.m3u8
山东卫视,http://125.40.191.58:9901/tsfile/live/0131_1.m3u8
山东卫视,http://222.175.159.226:808/hls/19/index.m3u8
深圳卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000292203.m3u8
深圳卫视,ttp://hls.ye23.vip/hls/szwshd.m3u8
重庆卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000297803.m3u8
重庆卫视,http://125.40.191.58:9901/tsfile/live/0142_1.m3u8
重庆卫视,http://39.135.138.60:18890/TVOD/88888910/224/3221225734/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
江西卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000294103.m3u8
江西卫视,http://125.40.191.58:9901/tsfile/live/0138_1.m3u8
江西卫视,http://222.175.159.226:808/hls/56/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
辽宁卫视,http://hls.ye23.vip/hls/lnwshd.m3u8
辽宁卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000281303.m3u8
辽宁卫视,http://125.40.191.58:9901/tsfile/live/0121_1.m3u8
东南卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000292503.m3u8
东南卫视,http://125.40.191.58:9901/tsfile/live/0137_1.m3u8
东南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225657/index.m3u8
天津卫视,http://hls.ye23.vip/hls/tjwshd.m3u8
天津卫视,http://58.34.204.67:9901/tsfile/live/0135_1.m3u8
湖北卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000294503.m3u8
湖北卫视,http://125.40.191.58:9901/tsfile/live/0132_1.m3u8
湖北卫视,http://222.175.159.226:808/hls/51/index.m3u8
河北卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000293403.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
四川卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000295003.m3u8
四川卫视,http://60.10.167.88:808/hls/31/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
吉林卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225680/index.m3u8
吉林卫视,http://60.10.167.88:808/hls/36/index.m3u8
甘肃卫视,http://60.10.167.88:808/hls/44/index.m3u8
甘肃卫视,http://39.134.66.66/TVOD/88888888/224/3221225584/index.m3u8
广西卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000294203.m3u8
广西卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226211/index.m3u8
贵州卫视,http://hls.ye23.vip/hls/gzwshd.m3u8
贵州卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000293303.m3u8
贵州卫视,http://111.13.42.234/PLTV/88888888/224/3221226497/1.m3u8
贵州卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000291503.m3u8
海南卫视,http://111.13.42.234/PLTV/88888888/224/3221226427/1.m3u8
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls
云南卫视,http://60.10.167.88:808/hls/47/index.m3u8
云南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
内蒙古卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225667/index.m3u8
内蒙古卫视,http://222.175.159.226:808/hls/66/index.m3u8
宁夏卫视,http://111.13.42.234/PLTV/88888888/224/3221226413/1.m3u8
宁夏卫视,http://120.253.104.16:808/hls/286/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225727/index.m3u8
河南卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000296103.m3u8
河南卫视,http://125.40.191.58:9901/tsfile/live/0139_1.m3u8
陕西卫视,http://222.175.159.226:808/hls/65/index.m3u8
陕西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.flv
黑龙江卫视,http://hls.ye23.vip/hls/hljwshd.m3u8
黑龙江卫视,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2000293903.m3u8
黑龙江卫视,http://111.13.42.235/PLTV/88888888/224/3221226498/1.m3u8
黑龙江卫视,http://125.40.191.58:9901/tsfile/live/0143_1.m3u8
西藏卫视,http://222.175.159.226:808/hls/71/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://111.13.42.234/PLTV/88888888/224/3221226422/1.m3u8
新疆卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225725/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8

体育,#genre# 
CCTV风云足球,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012514203.m3u8
CCTV央视台球,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012513703.m3u8
CCTV高尔夫网球,http://220.177.175.45/tlivectfree-cdn.ysp.cctv.cn/001/2012512503.m3u8
五星体育,http://60.213.135.147/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://14.205.73.133/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
ELTA1,https://elta.irtblztjwzxz000041.xyz/elta/download/11/index.m3u8
ELTA2,https://elta.irtblztjwzxz000041.xyz/elta/download/22/index.m3u8
ELTA3,https://elta.irtblztjwzxz000041.xyz/elta/download/33/index.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
